sec_code,beta,beta_obs
5801,3.022232544100491,60
5802,2.2240410379230515,60
5803,2.158415562657453,60
5805,1.2109614255109127,60
5821,1.869534971547997,60
5830,1.0061820225111437,46
5831,1.0006188787759114,46
5832,0.8457998672997248,46
5838,-0.06561151157953363,40
5844,0.6420402195072065,60
5851,1.468477328612712,60
5852,1.260401806523031,60
5857,1.0379176415809483,60
5889,0.07892350511187461,33
5901,0.353680371269445,60
5902,0.5346330519972793,60
5911,0.7412265540436963,60
5929,0.8634158658880723,60
5930,0.40009851399775714,60
5932,1.2038464154283333,60
5933,0.6040496727883502,60
5938,0.8088438395825361,60
5943,0.504811633529389,60
5946,0.5582141801715019,60
5947,0.5631866167206107,60
5949,1.2542077155083053,60
5957,0.991694387739671,60
5959,0.3790340159649263,60
5970,1.2924404796916138,60
5975,1.9233911571231057,60
5976,1.1009455744703895,60
5981,1.288738852581464,60
5988,0.45926670048882257,60
5989,1.1608492230942644,60
5991,1.5675567560735832,60
6005,0.804604307637789,60
6013,0.9947163319752412,60
6027,0.6082654290179884,60
6036,0.6090542256063282,60
6050,0.28856796792617384,60
6055,1.8476523117282888,60
6058,1.2162195844158248,60
6062,1.239489703007202,60
6070,0.7249670188572235,60
6071,0.6893522432456382,60
6073,0.3136249696708713,60
6078,0.08101073587006023,60
6080,0.5378570464283474,60
6088,0.5958501647656567,60
6089,0.5797226589473958,60
6098,1.3490171616670033,60
6099,0.7538839329466714,60
6101,1.8200011635201037,60
6103,1.5278470572979799,60
6104,1.0905147387806506,60
6113,1.7038465037988575,60
6118,0.7205869561911986,60
6134,2.155356670271912,60
6135,0.8022986696990135,60
6136,1.0927738897264203,60
6140,2.2961411641107703,60
6141,1.5187713675838665,60
6143,1.3742654355733228,60
6146,2.1964822590366144,60
6151,0.5283618515965816,60
6167,0.9517401755376037,60
6178,0.5449479427638678,60
6183,0.3318499839527307,60
6184,0.1793602740720063,60
6191,0.811507023857242,60
6194,0.07882303769751964,60
6196,0.45513004592488354,60
6197,0.38290994660667044,60
6200,0.7588348821929412,60
6209,1.793787831713701,34
6222,1.0990438512684375,60
6235,2.2049849559813373,60
6237,0.9044884744866211,60
6238,0.894878581726399,60
6240,1.2407252599049885,60
6247,0.9057383710921059,60
6250,1.0635814791590215,60
6254,2.3676972505390994,60
6258,2.018879881293049,60
6264,1.9991163124453264,60
6266,1.7999030981789188,60
6268,1.5525858073138465,60
6269,0.6331178406005055,60
6272,1.0698626512664569,60
6273,1.6410313081627956,60
6277,1.4660340307346396,60
6278,2.2915543569616625,60
6279,0.7209735843750472,60
6282,0.702672098760574,60
6284,1.684175939816479,60
6287,0.7256567049769475,60
6289,1.425264158010554,60
6294,0.9916405891278869,60
6298,1.3600842839010325,60
